num_threads,iteration,matrix_size,execution_time_ms
1,0,2048,26373
1,1,2048,26303
1,2,2048,26597
1,3,2048,27073
1,4,2048,26763
1,5,2048,26358
1,6,2048,26599
1,7,2048,26680
1,8,2048,26586
1,9,2048,26662
2,0,2048,11258
2,1,2048,11300
2,2,2048,11223
2,3,2048,11205
2,4,2048,11116
2,5,2048,11094
2,6,2048,11115
2,7,2048,11251
2,8,2048,11334
2,9,2048,11116
3,0,2048,7282
3,1,2048,7316
3,2,2048,7334
3,3,2048,7246
3,4,2048,7187
3,5,2048,7299
3,6,2048,7292
3,7,2048,7363
3,8,2048,7333
3,9,2048,7241
4,0,2048,5295
4,1,2048,5381
4,2,2048,5413
4,3,2048,5378
4,4,2048,5274
4,5,2048,5362
4,6,2048,5361
4,7,2048,5315
4,8,2048,5315
4,9,2048,5321
5,0,2048,4197
5,1,2048,4165
5,2,2048,4125
5,3,2048,4157
5,4,2048,4258
5,5,2048,4295
5,6,2048,4106
5,7,2048,4207
5,8,2048,4074
5,9,2048,4171
6,0,2048,3476
6,1,2048,3552
6,2,2048,3593
6,3,2048,3603
6,4,2048,3656
6,5,2048,3545
6,6,2048,3493
6,7,2048,3775
6,8,2048,3581
6,9,2048,3522
7,0,2048,3829
7,1,2048,3711
7,2,2048,3836
7,3,2048,3913
7,4,2048,3579
7,5,2048,3766
7,6,2048,3732
7,7,2048,3817
7,8,2048,3786
7,9,2048,4055
8,0,2048,4019
8,1,2048,4147
8,2,2048,3764
8,3,2048,3654
8,4,2048,3844
8,5,2048,3625
8,6,2048,3610
8,7,2048,3906
8,8,2048,4293
8,9,2048,3867
9,0,2048,4014
9,1,2048,3705
9,2,2048,3845
9,3,2048,3860
9,4,2048,3712
9,5,2048,3919
9,6,2048,3945
9,7,2048,3761
9,8,2048,3897
9,9,2048,3614
10,0,2048,3738
10,1,2048,3983
10,2,2048,3995
10,3,2048,4120
10,4,2048,3895
10,5,2048,4184
10,6,2048,3689
10,7,2048,3664
10,8,2048,3855
10,9,2048,3737
11,0,2048,3939
11,1,2048,3976
11,2,2048,3892
11,3,2048,3853
11,4,2048,3748
11,5,2048,3926
11,6,2048,3800
11,7,2048,3869
11,8,2048,4017
11,9,2048,3863
12,0,2048,3872
12,1,2048,4023
12,2,2048,4007
12,3,2048,4149
12,4,2048,4933
12,5,2048,4155
12,6,2048,4340
12,7,2048,4020
12,8,2048,4081
12,9,2048,3947
13,0,2048,4114
13,1,2048,4213
13,2,2048,4192
13,3,2048,4385
13,4,2048,4141
13,5,2048,3876
13,6,2048,4316
13,7,2048,4073
13,8,2048,4363
13,9,2048,4100
14,0,2048,4352
14,1,2048,4353
14,2,2048,4547
14,3,2048,4263
14,4,2048,4476
14,5,2048,4329
14,6,2048,4544
14,7,2048,4548
14,8,2048,4248
14,9,2048,4441
15,0,2048,4828
15,1,2048,4877
15,2,2048,4641
15,3,2048,4680
15,4,2048,4767
15,5,2048,4772
15,6,2048,4632
15,7,2048,4634
15,8,2048,4549
15,9,2048,4613
16,0,2048,5093
16,1,2048,5149
16,2,2048,5046
16,3,2048,5221
16,4,2048,4999
16,5,2048,5232
16,6,2048,5397
16,7,2048,5133
16,8,2048,5219
16,9,2048,5239
17,0,2048,5672
17,1,2048,5781
17,2,2048,6116
17,3,2048,5488
17,4,2048,5720
17,5,2048,5554
17,6,2048,5511
17,7,2048,5624
17,8,2048,5416
17,9,2048,5444
18,0,2048,5851
18,1,2048,5792
18,2,2048,6057
18,3,2048,5966
18,4,2048,5931
18,5,2048,6157
18,6,2048,5961
18,7,2048,5994
18,8,2048,5797
18,9,2048,6071
19,0,2048,5817
19,1,2048,6128
19,2,2048,6048
19,3,2048,5706
19,4,2048,6067
19,5,2048,5578
19,6,2048,5948
19,7,2048,5831
19,8,2048,5651
19,9,2048,5745
20,0,2048,5528
20,1,2048,5436
20,2,2048,5606
20,3,2048,5504
20,4,2048,5386
20,5,2048,5479
20,6,2048,5560
20,7,2048,5401
20,8,2048,5560
20,9,2048,5381
