num_threads,iteration,matrix_size,execution_time_ms,,,threads,mean time(ms),,threads,speed-up
1,0,2048,2638,,,1,2590.666667,,1,1
1,1,2048,2584,,,2,1431.666667,,2,1.809545984
1,2,2048,2550,,,3,1015,,3,2.552380952
2,0,2048,1403,,,4,811,,4,3.194410193
2,1,2048,1427,,,5,708.6666667,,5,3.655691439
2,2,2048,1465,,,6,630.6666667,,6,4.10782241
3,0,2048,1014,,,7,616.3333333,,7,4.203353164
3,1,2048,1023,,,8,597.3333333,,8,4.337053571
3,2,2048,1008,,,9,576,,9,4.497685185
4,0,2048,815,,,10,561.3333333,,10,4.6152019
4,1,2048,809,,,11,568.3333333,,11,4.558357771
4,2,2048,809,,,12,556.3333333,,12,4.656680647
5,0,2048,682,,,13,567.3333333,,13,4.566392479
5,1,2048,718,,,14,542.3333333,,14,4.776889982
5,2,2048,726,,,15,537.6666667,,15,4.818350899
6,0,2048,623,,,16,538.6666667,,16,4.809405941
6,1,2048,637,,,17,516,,17,5.020671835
6,2,2048,632,,,18,508.3333333,,18,5.096393443
7,0,2048,609,,,19,495,,19,5.233670034
7,1,2048,619,,,20,499.3333333,,20,5.188251001
7,2,2048,621,,,,,,,
8,0,2048,598,,,,,,,
8,1,2048,601,,,,,,,
8,2,2048,593,,,,,,,
9,0,2048,574,,,,,,,
9,1,2048,578,,,,,,,
9,2,2048,576,,,,,,,
10,0,2048,566,,,,,,,
10,1,2048,566,,,,,,,
10,2,2048,552,,,,,,,
11,0,2048,564,,,,,,,
11,1,2048,575,,,,,,,
11,2,2048,566,,,,,,,
12,0,2048,559,,,,,,,
12,1,2048,560,,,,,,,
12,2,2048,550,,,,,,,
13,0,2048,568,,,,,,,
13,1,2048,555,,,,,,,
13,2,2048,579,,,,,,,
14,0,2048,542,,,,,,,
14,1,2048,538,,,,,,,
14,2,2048,547,,,,,,,
15,0,2048,534,,,,,,,
15,1,2048,547,,,,,,,
15,2,2048,532,,,,,,,
16,0,2048,535,,,,,,,
16,1,2048,550,,,,,,,
16,2,2048,531,,,,,,,
17,0,2048,517,,,,,,,
17,1,2048,518,,,,,,,
17,2,2048,513,,,,,,,
18,0,2048,515,,,,,,,
18,1,2048,509,,,,,,,
18,2,2048,501,,,,,,,
19,0,2048,492,,,,,,,
19,1,2048,493,,,,,,,
19,2,2048,500,,,,,,,
20,0,2048,498,,,,,,,
20,1,2048,503,,,,,,,
20,2,2048,497,,,,,,,
